Number,State,Value,Param learning_rate,Param max_depth,Param n_estimators,Param reg_alpha,Param reg_lambda,Param subsample
0,COMPLETE,0.9869353628968957,0.14929218677908576,4,83,0.5186364001465354,3.2767920803675494,0.6781656140728695
1,COMPLETE,0.9857996445550445,0.2606010677640995,3,292,3.6264768903093874,2.7549047588487605,0.6450610702162853
2,COMPLETE,0.9869382700257572,0.18358309678419146,4,160,3.9755201394909143,3.631755299534905,0.6155930709357911
3,COMPLETE,0.9892097067094596,0.22695994645071935,2,149,0.6122441124063632,1.2077063505009111,0.663725253989393
4,COMPLETE,0.9528444317822831,0.0062922013956915315,2,131,1.8838558699722414,3.889161628961462,0.9275483278400827
5,COMPLETE,0.9869363319398495,0.2926160794034023,3,173,3.35603973617421,2.336992542568874,0.7198479478590298
6,COMPLETE,0.9897765968374314,0.12069211514641735,3,143,1.2032249271101747,0.7193464077776562,0.5958754251619939
7,COMPLETE,0.9875041911107751,0.2017702081278098,2,158,2.3373718045084035,0.006299034368772993,0.8689049380652986
8,COMPLETE,0.988071081238747,0.10843976079316686,3,145,0.6105337805986716,4.388504353426116,0.7777903907051911
9,COMPLETE,0.9579629166642439,0.002366224716141203,3,174,0.24636388832671496,3.849616791135453,0.9848220884522747
10,COMPLETE,0.9869382700257572,0.08011127975779131,4,248,4.946284251733554,0.05640028685615972,0.5517990240371425
11,COMPLETE,0.9869373009828033,0.2388550515789128,2,87,1.3989746926556712,1.2052825045989322,0.5763656158355398
12,COMPLETE,0.9857996445550445,0.11027172755301895,2,222,1.4826647157847583,1.275661602249454,0.5157011488328946
13,COMPLETE,0.9892097067094596,0.1726337811570577,2,109,0.911758277384142,1.2367922900155293,0.7665040163996943
14,COMPLETE,0.9835282078713421,0.06258355185118211,3,51,2.6983166532479665,1.971205281013697,0.691926881566659
15,COMPLETE,0.9903444560083571,0.2216966832580164,3,193,0.07786438892807501,0.6972637077325191,0.8371871587005129
16,COMPLETE,0.9892067995805981,0.14151313022809528,3,231,0.09130286151505393,0.7470214609826848,0.827988859335557
17,COMPLETE,0.9840950979993138,0.289104340338459,4,205,1.245520879878703,0.6930160190349597,0.8422706421200399
18,COMPLETE,0.9880720502817008,0.21388408521436356,3,197,1.6528508835489641,1.7936944719425068,0.8995912351557458
19,COMPLETE,0.9880720502817008,0.05134781150515645,3,263,2.271490732530535,0.5601486897768123,0.7864381427507499
